epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.836,1.40293,2.87049,1.34456,0.01059,0.66429,0.14312,0.09205,1.34785,2.99534,1.17636,0.000633333,0.000633333,0.000633333
2,50.6852,1.47759,2.28821,1.34718,0.73715,0.05,0.12867,0.06549,1.51429,2.95557,1.31137,0.0012571,0.0012571,0.0012571
3,75.3758,1.64587,2.03759,1.46182,0.32873,0.16429,0.15456,0.07406,1.80803,2.79712,1.53346,0.00183687,0.00183687,0.00183687
4,100.294,1.66801,1.87611,1.49649,0.24411,0.17143,0.12062,0.05852,1.93512,2.66789,1.64255,0.001802,0.001802,0.001802
5,125.273,1.66056,1.86698,1.51537,0.25736,0.27857,0.16071,0.06303,1.96067,2.48711,1.71925,0.001736,0.001736,0.001736
6,150.597,1.68957,1.78612,1.53875,0.21579,0.35,0.19444,0.08912,1.91909,3.09063,1.69644,0.00167,0.00167,0.00167
7,175.692,1.57884,1.75833,1.51203,0.37384,0.31133,0.24447,0.1079,1.78706,2.64665,1.56211,0.001604,0.001604,0.001604
8,201.295,1.6343,1.69479,1.42393,0.46066,0.29286,0.28032,0.11837,1.76255,2.18732,1.48688,0.001538,0.001538,0.001538
9,226.637,1.57686,1.6497,1.43388,0.27522,0.41429,0.24383,0.12148,1.64706,2.41199,1.38844,0.001472,0.001472,0.001472
10,251.912,1.52773,1.61586,1.40412,0.35912,0.41227,0.31631,0.16503,1.68993,2.58598,1.3705,0.001406,0.001406,0.001406
11,277.574,1.44769,1.59319,1.38488,0.47852,0.32143,0.3373,0.17596,1.73082,2.25294,1.41406,0.00134,0.00134,0.00134
12,303.256,1.48523,1.64432,1.36884,0.466,0.32857,0.28468,0.16446,1.59369,2.10906,1.37784,0.001274,0.001274,0.001274
13,328.324,1.55748,1.58725,1.46054,0.52777,0.37143,0.35984,0.19819,1.49376,2.0537,1.35649,0.001208,0.001208,0.001208
14,354.019,1.4224,1.47038,1.37606,0.47022,0.34286,0.34097,0.1822,1.5699,2.06777,1.3867,0.001142,0.001142,0.001142
15,378.935,1.29921,1.52045,1.34206,0.57884,0.24546,0.2978,0.16015,1.62292,2.27991,1.42619,0.001076,0.001076,0.001076
16,403.951,1.48448,1.47839,1.3666,0.47922,0.35714,0.37553,0.18933,1.62342,1.93714,1.40857,0.00101,0.00101,0.00101
17,429.062,1.46374,1.45346,1.3533,0.48516,0.38571,0.36234,0.18981,1.61691,1.92016,1.38654,0.000944,0.000944,0.000944
18,454.324,1.33377,1.46638,1.34009,0.56459,0.30714,0.36248,0.19117,1.55141,1.94946,1.35384,0.000878,0.000878,0.000878
19,479.45,1.39285,1.35218,1.34442,0.50704,0.35266,0.35731,0.18725,1.60093,1.93935,1.36534,0.000812,0.000812,0.000812
20,504.473,1.397,1.38609,1.34033,0.6741,0.31429,0.36402,0.19288,1.70662,1.8946,1.416,0.000746,0.000746,0.000746
21,529.407,1.32639,1.74407,1.26132,0.63466,0.27857,0.33074,0.18862,1.71025,1.9463,1.39636,0.00068,0.00068,0.00068
22,554.225,1.23494,1.58732,1.23167,0.54219,0.27857,0.3118,0.1915,1.68351,2.02277,1.38788,0.000614,0.000614,0.000614
23,579.312,1.3202,1.59756,1.30076,0.50407,0.30714,0.31048,0.18973,1.64938,1.99547,1.38648,0.000548,0.000548,0.000548
24,604.609,1.24462,1.47433,1.26697,0.52195,0.31429,0.36998,0.21741,1.54538,1.91206,1.31945,0.000482,0.000482,0.000482
25,629.799,1.22619,1.45252,1.23163,0.53198,0.36429,0.4095,0.22771,1.52617,1.8639,1.32943,0.000416,0.000416,0.000416
26,655.563,1.19561,1.40662,1.23344,0.56843,0.38571,0.41406,0.23647,1.50868,1.80927,1.32416,0.00035,0.00035,0.00035
27,681.353,1.12574,1.42989,1.1836,0.54878,0.41429,0.40678,0.23875,1.52871,1.77988,1.33178,0.000284,0.000284,0.000284
28,707.294,1.18321,1.36077,1.211,0.51181,0.37857,0.40203,0.22835,1.52808,1.75477,1.32851,0.000218,0.000218,0.000218
29,732.591,1.10752,1.34035,1.16137,0.66677,0.32857,0.40386,0.22616,1.51222,1.7609,1.3194,0.000152,0.000152,0.000152
30,757.361,1.12752,1.36477,1.2023,0.62648,0.35714,0.40845,0.2296,1.49596,1.76032,1.31421,8.6e-05,8.6e-05,8.6e-05
