epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.60001,1.46857,0.13333,1,1.49402,0.0003125,0.0003125,0.0003125
2,3.24381,1.57276,0.13333,1,1.48175,0.000720143,0.000720143,0.000720143
3,4.8138,1.59317,0.13333,1,1.49034,0.00111747,0.00111747,0.00111747
4,6.44467,1.59027,0.8,1,0.4724,0.00120359,0.00120359,0.00120359
5,7.96199,0.55873,0.8,1,0.47077,0.00118812,0.00118812,0.00118812
6,9.48825,0.63269,0.8,1,0.45611,0.00117266,0.00117266,0.00117266
7,11.1322,0.54953,0.8,1,0.47395,0.00115719,0.00115719,0.00115719
8,12.7782,0.62452,0.93333,1,0.19996,0.00114172,0.00114172,0.00114172
9,14.343,0.15423,0.93333,1,0.21884,0.00112625,0.00112625,0.00112625
10,15.9271,0.34544,0.93333,1,0.22031,0.00111078,0.00111078,0.00111078
11,17.5532,0.63543,0.93333,1,0.20566,0.00109531,0.00109531,0.00109531
12,19.0949,0.23567,0.93333,1,0.1248,0.00107984,0.00107984,0.00107984
13,20.638,0.14946,0.93333,1,0.11532,0.00106437,0.00106437,0.00106437
14,22.2099,0.35099,0.93333,1,0.11412,0.00104891,0.00104891,0.00104891
15,23.748,0.13983,0.93333,1,0.12283,0.00103344,0.00103344,0.00103344
16,25.3219,0.36613,1,1,0.05323,0.00101797,0.00101797,0.00101797
17,26.9361,0.1691,1,1,0.05022,0.0010025,0.0010025,0.0010025
18,28.5043,0.1234,1,1,0.05127,0.000987031,0.000987031,0.000987031
19,30.0543,0.32118,1,1,0.01235,0.000971562,0.000971562,0.000971562
20,31.6997,0.05398,1,1,0.01175,0.000956094,0.000956094,0.000956094
21,33.3313,0.06141,1,1,0.01219,0.000940625,0.000940625,0.000940625
22,34.9333,0.14469,1,1,0.0119,0.000925156,0.000925156,0.000925156
23,36.5832,0.03344,1,1,0.00446,0.000909688,0.000909688,0.000909688
24,38.1088,0.05319,1,1,0.00432,0.000894219,0.000894219,0.000894219
25,39.7165,0.04935,1,1,0.00436,0.00087875,0.00087875,0.00087875
