image_id,image_name,annotations
0,1.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
1,10.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
2,100.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
3,101.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_empty'}]"
4,102.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
5,103.jpg,"[{'type': 'tag', 'label': 'is_empty'}, {'type': 'tag', 'label': 'is_scattered'}]"
6,104.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
7,105.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
8,106.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
9,107.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
10,108.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
11,109.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
12,11.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
13,110.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
14,111.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
15,112.jpg,"[{'type': 'tag', 'label': 'is_empty'}, {'type': 'tag', 'label': 'is_scattered'}]"
16,113.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
17,114.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
18,115.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
19,116.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
20,117.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
21,118.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
22,119.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
23,12.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
24,120.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
25,121.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
26,122.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
27,123.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
28,124.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
